,molecule_chembl_id,smiles,ic50,tox_free,bbb,qed,sa,lip,carc
66,CHEMBL4159268,COc1ccc(COc2cccc(C(=O)NO)c2)cc1,42680.0,False,False,0.6480960917159763,1.6503530423550004,0,True
67,CHEMBL4169530,COc1ccc(C(=O)NO)cc1OCc1ccc(Br)cc1,7780.0,False,False,0.6408552103244953,1.790040752114047,0,True
68,CHEMBL1997732,O=C(NO)c1cccc(OCc2ccc(Br)cc2)c1,19420.0,False,False,0.6714768800285895,1.7300438153193891,0,True
69,CHEMBL4163007,CCCCCCCCCC(N)(OP(=O)(O)O)OP(=O)(O)O,20.0,False,False,0.20145207759895872,3.1684346693832177,0,True
70,CHEMBL4176817,CCCCCCCCCCCC(O)(OP(=O)(O)O)OP(=O)(O)O,70.0,False,False,0.1742920270396745,3.1275992937808956,0,True
71,CHEMBL3797516,COc1ccc(C(=O)NO)cc1OCc1ccccc1,10490.0,False,False,0.6480960917159763,1.6377481840554058,0,True
72,CHEMBL4168574,O=C(NO)c1cccc(OCc2ccccc2)c1,60420.0,False,False,0.6399541763277873,1.5663745975895473,0,True
73,CHEMBL4175277,CCCCCCCCCCCCS(=O)(=O)O[C@H]1OC(O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H]1OP(=O)(O)O,440.0,False,False,0.08388938803877197,4.419063550688789,2,True
74,CHEMBL4172326,CCCCCCCCCCC(OP(=O)(O)O)OP(=O)(O)O,310.0,False,False,0.22662239734700823,2.842156257794805,0,True
75,CHEMBL3349692,O=P(O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H]1O,26700.0,False,False,0.18890144179627963,3.078926959915135,1,True
76,CHEMBL1993056,COc1ccc(/C=N/NC(=O)c2[nH]c3ccc(Cl)cc3c2-c2ccccc2)c(C(=O)O)c1OC,14125.4,False,True,0.2568061306071205,2.502144553961479,0,True
77,CHEMBL1452197,Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1S(=O)(=O)N1CCN(c2cccc(Cl)c2)CC1,19952.6,False,True,0.609950031096191,2.379697400153704,0,False
