molecule_chembl_id,canonical_smiles,standard_value
CHEMBL5071724,CN(c1ncnc2[nH]c3cc(-c4ccco4)ccc3c12)C1CCCN(CCC#N)C1,5299.0
CHEMBL5079159,COc1ccc2c(c1)[nH]c1ncnc(N(C)C3CCCN(CCC#N)C3)c12,8690.0
CHEMBL5076549,CN(c1ncnc2[nH]c3cc(C#N)ccc3c12)C1CCCN(CCC#N)C1,1204.0
CHEMBL5084461,C#Cc1ccc2c(c1)[nH]c1ncnc(N(C)C3CCCN(CCC#N)C3)c12,23.0
CHEMBL5089934,C#Cc1ccc2c(c1)[nH]c1ncnc(N(C)[C@H]3CCCN(CCC#N)C3)c12,6.0
CHEMBL1235645,N#CCc1ccc(Nc2nccc(Nc3cc(C4CC4)[nH]n3)n2)cc1,3.8
CHEMBL5088263,N#CCCN1CCC2CCN(c3ncnc4[nH]c5cc(Br)ccc5c34)C2C1,66.0
CHEMBL260163,O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1,15.0
CHEMBL5277187,O=C(Nc1cccnc1)c1ccnc(NC(=O)C2CC2)c1,1400.0
CHEMBL5271697,O=C1NCCc2ccc(cc2)Nc2nccc(n2)Nc2cc1[nH]n2,34000.0
CHEMBL186290,Cc1cc2c3c(c1)c(C1=C(c4cnc5ccccn45)C(=O)NC1=O)cn3CCN(C(=O)N1CCCCC1)C2,41.0
CHEMBL5290300,O=C(Nc1cnccc1-c1ccc(F)cc1Cl)c1ccnc(NC(=O)C2CC2)c1,29.0
CHEMBL5268185,O=C(Nc1cnccc1-c1ccc(F)cc1C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,0.87
CHEMBL5281592,O=C(Nc1cnccc1-c1ccc(Cl)cc1F)c1ccnc(NC(=O)C2CC2)c1,75.0
CHEMBL5286049,O=C(Nc1cnccc1-c1cc(F)ccc1F)c1ccnc(NC(=O)C2CC2)c1,770.0
CHEMBL5282961,O=C(Nc1cnccc1-c1cccc(F)c1F)c1ccnc(NC(=O)C2CC2)c1,230.0
CHEMBL272629,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1,5.0
CHEMBL3735347,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4noc(C(N)=O)n4)CC3)c2c1,490.0
CHEMBL408564,O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CC1,7.0
CHEMBL3734973,CCOC(=O)c1nc(CN2CCC(CNC(=O)c3n[nH]c4ccc(OC)cc34)CC2)cs1,950.0
CHEMBL1232916,Cc1nnc(-c2ccc3occ(-c4ccc([S@+](C)[O-])cc4)c3c2)o1,53.0
CHEMBL3735779,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4nc(C(=O)O)cs4)CC3)c2c1,50.0
CHEMBL209148,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,36000.0
CHEMBL3736086,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4nc(C(=O)O)co4)CC3)c2c1,70.0
CHEMBL363058,CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,15.0
CHEMBL5273872,O=C(Nc1cnccc1-c1ccc(F)cc1F)c1ccnc(NC(=O)C2CC2)c1,62.0
CHEMBL3735529,CCOC(=O)c1ccc(CN2CCC(CNC(=O)c3n[nH]c4ccc(OC)cc34)CC2)o1,330.0
CHEMBL183038,O=C(Nc1ncnc2oc(-c3ccccc3)cc12)C1CCCC1,20.0
CHEMBL361196,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CC1,5.0
CHEMBL427325,COc1ccc(-c2cc3c(NC(=O)c4cccc(F)c4)ncnc3o2)cc1,35000.0
CHEMBL181147,COc1ccc(-c2cc3c(NC(=O)N4CCOCC4)ncnc3o2)cc1,34000.0
CHEMBL360340,COc1ccc(-c2cc3c(NC(=O)C4CCCCC4)ncnc3o2)cc1,1820.0
CHEMBL181959,COc1ccc(-c2cc3c(NC(=O)C4CCCC4)ncnc3o2)cc1,30.0
CHEMBL181031,O=C1NC(=O)C(c2cnc3cccnn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,0.3
CHEMBL3736399,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(C(=O)O)o4)CC3)c2c1,400.0
CHEMBL3734911,COc1ccc2[nH]nc(C(=O)NCC3CCN(CCC4CCCC(C)C4)CC3)c2c1,360.0
CHEMBL3735154,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccnc(C(=O)O)c4)CC3)c2c1,270.0
CHEMBL178179,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(C4CCCC4)cnn23)cc1,22000.0
CHEMBL44541,Nc1nccc(-c2c[nH]c3ccc(Br)cc23)n1,2000.0
CHEMBL5280368,O=C(Nc1cnccc1-c1ccc(Cl)cc1Cl)c1ccnc(NC(=O)C2CC2)c1,47.0
CHEMBL5280241,O=C(Nc1cnccc1-c1ccccc1Cl)c1ccnc(NC(=O)C2CC2)c1,61.0
CHEMBL5278418,O=C1NCCCCCNc2nccc(n2)Nc2cc1[nH]n2,45000.0
CHEMBL3736462,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(OCc5ccccc5)cc4)CC3)c2c1,350.0
CHEMBL3735984,COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(C(F)(F)F)cc4)CC3)c2c1,640.0
CHEMBL5291070,O=C(Nc1cccnc1F)c1ccnc(NC(=O)C2CC2)c1,1600.0
CHEMBL5274110,O=C(Nc1cccnc1O)c1ccnc(NC(=O)C2CC2)c1,10000.0
CHEMBL5274152,O=C(Nc1cnccc1Cl)c1ccnc(NC(=O)C2CC2)c1,260.0
CHEMBL5270581,O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CC2)c1,320.0
CHEMBL5276348,O=C(Nc1cnccc1OCC(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,260.0
CHEMBL5286900,CCOc1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,170.0
CHEMBL5284458,O=C(Nc1cnccc1Oc1ccccc1)c1ccnc(NC(=O)C2CC2)c1,4.2
